"rocket_x","rocket_y","rocket_z","player_x","player_y","player_z","delta_x","delta_y","delta_z","delta_len","vel_before_x","vel_before_y","vel_before_z","vel_after_x","vel_after_y","vel_after_z","vel_delta_x","vel_delta_y","vel_delta_z","vel_delta_len"
-770.83,493.52,-255.41,-778.538,490.168,-219.968,7.708,3.352,-35.442,36.4250536307,-10.459,-399.864,0,-229.353,-495.165,1091.174,218.894,95.301,-1091.174,1116.9859274463
-785.09,424.7,-255.96,-789.421,431.571,-219.968,4.331,-6.871,-35.992,36.8970495568,-0.973,-73.593,0,-125.238,123.587,1118.189,124.265,-197.18,-1118.189,1142.2208115535
-747.33,-14.29,-255.96,-756.56,-23.289,-219.968,9.23,8.999,-35.992,38.2308640368,0,0,0,-266.339,-259.663,1126.148,266.339,259.663,-1126.148,1185.9893146205
-768.96,475.08,-255.96,-748.763,480.262,-219.968,-20.197,-5.182,-35.992,41.5956247339,-8.903,-399.901,0,412.025,-292.05,800.81,-420.928,-107.851,-800.81,911.1031091402
-785.82,220.55,-246.15,-779.105,207.82,-206.196,-6.715,12.73,-39.954,42.4672372659,-204.259,-579.124,223.528,-66.166,-871.15,1216.714,-138.093,292.026,-993.186,1044.3980524307
-777.66,267.85,-255.96,-794.897,253.163,-219.968,17.237,14.687,-35.992,42.5234782444,-7.118,-399.94,0,-393.41,-729.178,862.427,386.292,329.238,-862.427,1000.6995054646
-773.67,390.89,-255.96,-777.964,415.869,-219.968,4.294,-24.979,-35.992,44.0205967815,-0.081,-13.999,0,-90.147,509.831,806.707,90.066,-523.83,-806.707,966.0672528893
-771.15,406.37,-255.96,-760.915,405.476,-212.523,-10.235,0.894,-43.437,44.6354951804,-50.381,-555.717,245.128,170.109,-576.022,1358.858,-220.49,20.305,-1113.73,1135.5274747997
-753.05,379.31,-255.96,-779.83,379.115,-219.968,26.78,0.195,-35.992,44.8623504623,-21.046,-399.859,0,-534.302,-403.69,737.874,513.256,3.831,-737.874,898.8350449181
-767.2,407.74,-255.96,-778.051,439.373,-219.968,10.851,-31.633,-35.992,49.1305908167,-6.978,-399.939,0,-220.216,192.461,755.166,213.238,-592.4,-755.166,983.2008402153
-724.06,325.33,-255.96,-737.903,358.887,-219.968,13.843,-33.557,-35.992,51.1187339632,0,0,0,-286.203,693.96,808.947,286.203,-693.96,-808.947,1103.5795791958
-786.16,-1.18,-255.96,-778.103,-37.417,-219.968,-8.057,36.237,-35.992,51.7055072695,0,0,0,159.266,-715.579,770.487,-159.266,715.579,-770.487,1063.5173628888
-737.19,318.65,-255.96,-776.517,304.595,-219.968,39.327,14.055,-35.992,55.1323862897,1.517,-368.092,0,-644.198,-598.886,631.428,645.715,230.794,-631.428,932.1561300796
-817.5,540.9,-255.96,-797.318,504.28,-219.968,-20.182,36.62,-35.992,55.1702962472,-2.067,-15.983,0,309.694,-581.529,593.729,-311.761,565.546,-593.729,877.2407449942
-773.53,16.18,-255.96,-768.578,59.313,-219.968,-4.952,-43.133,-35.992,56.3950534799,0,0,0,74.651,649.047,580.472,-74.651,-649.047,-580.472,873.9465217014
-773.53,16.18,-255.96,-768.578,59.313,-219.968,-4.952,-43.133,-35.992,56.3950534799,0,0,0,74.651,649.047,580.472,-74.651,-649.047,-580.472,873.9465217014
-773.53,16.18,-255.96,-768.578,59.313,-219.968,-4.952,-43.133,-35.992,56.3950534799,0,0,0,74.651,649.047,580.472,-74.651,-649.047,-580.472,873.9465217014
-756.42,-381.91,-255.96,-788.395,-413.827,-219.968,31.975,31.917,-35.992,57.7626140163,-126.321,-454.244,0,-882.679,-1550.158,1167.51,756.358,1095.914,-1167.51,1770.9275873564
-754.25,-238.93,-255.96,-772.374,-187.295,-219.968,18.124,-51.635,-35.992,65.4986768187,9.953,399.876,0,-217.426,1048.087,484.237,227.379,-648.211,-484.237,840.4547473428
-754.25,-238.93,-255.96,-772.374,-187.295,-219.968,18.124,-51.635,-35.992,65.4986768187,9.953,399.876,0,-217.426,1048.087,484.237,227.379,-648.211,-484.237,840.4547473428
-192.03,-482.71,-10.5,-205.47,-461.365,51.129,13.44,-21.345,-61.629,66.5911125151,-538.225,63.665,218.728,-725.349,360.868,1117.287,187.124,-297.203,-898.559,964.755560267
-771.35,489.72,-255.96,-754.978,435.362,-219.968,-16.372,54.358,-35.992,67.2179932161,-15.655,-399.697,0,152.475,-958.001,395.017,-168.13,558.304,-395.017,704.2794073413
-767.94,333.07,-255.96,-822.193,355.977,-219.968,54.253,-22.907,-35.992,69.0184230623,0,0,0,-657.731,277.652,467.906,657.731,-277.652,-467.906,853.6022061247
-811.82,-63.17,-255.96,-850.134,-50.495,-198.508,38.314,-12.675,-57.452,70.2093336032,223.376,-300.353,-194.071,-264.722,-138.77,568.637,488.098,-161.583,-762.708,919.8218396826
-769.69,-539.31,-255.96,-713.832,-569.615,-219.968,-55.858,30.305,-35.992,73.0337815877,45.163,485.734,0,575.04,198.322,364.745,-529.877,287.412,-364.745,704.5666809451
-739.63,-89.72,-255.96,-802.948,-80.849,-219.968,63.318,-8.871,-35.992,73.3708922462,-4.916,399.981,0,-739.714,503.016,448.068,734.798,-103.035,-448.068,866.7809669421
-826.77,530.43,-255.96,-794.29,472.951,-219.968,-32.48,57.479,-35.992,75.1944805488,7.523,-400.06,0,316.068,-946.038,364.258,-308.545,545.978,-364.258,725.241948644
-786.87,234.67,-255.96,-793.288,220.173,-179.844,6.418,14.497,-76.116,77.7495928542,0,0,88.328,-68.282,-154.283,923.705,68.282,154.283,-835.377,852.2443357054
-799.42,428.58,-255.96,-760.078,485.887,-219.968,-39.342,-57.307,-35.992,78.2771312517,-22.086,-399.453,0,359.398,125.95,372.537,-381.484,-525.403,-372.537,748.5734239432
-754.4,615.65,-255.96,-783.906,678.639,-219.968,29.506,-62.989,-35.992,78.3175728748,-3.79,-400.002,0,-270.263,168.842,345.707,266.473,-568.844,-345.707,717.0109384898
-784.51,378.51,-255.96,-786.519,335.78,-189.168,2.009,42.73,-66.792,79.3162041767,-230.504,-538.035,150.728,-276.039,-940.369,817.249,45.535,402.334,-666.521,779.8694295983
-768.94,410.02,-255.96,-806.254,470.072,-219.968,37.314,-60.052,-35.992,79.3347424777,0,0,0,-348.501,560.893,358.546,348.501,-560.893,-358.546,751.4047767788
-760.51,484.04,-255.96,-776.667,522.832,-186.203,16.157,-38.792,-69.757,81.4365210578,95.228,-591.207,-134.072,-35.37,-197.659,589.847,130.598,-393.548,-723.919,834.2628988928
-528.99,376.12,-270.44,-500.313,318.968,-218.526,-28.677,57.152,-51.914,82.3637349141,-412.965,-36.677,0,-163.344,-534.072,472.86,-249.621,497.395,-472.86,730.2800895999
-757.13,-383.53,-255.96,-752.784,-309.282,-219.968,-4.346,-74.248,-35.992,82.6261295475,-4.276,262.381,0,34.781,929.165,344.544,-39.057,-666.784,-344.544,751.5563317816
-763.44,-141.52,-255.96,-776.111,-65.995,-219.968,12.671,-75.525,-35.992,84.6168064276,9.692,399.883,0,-116.126,1150.14,391.33,125.818,-750.257,-391.33,855.4851863551
-763.44,-141.52,-255.96,-776.111,-65.995,-219.968,12.671,-75.525,-35.992,84.6168064276,9.692,399.883,0,-116.126,1150.14,391.33,125.818,-750.257,-391.33,855.4851863551
-792.48,413.15,-255.96,-795.581,489.755,-219.968,3.101,-76.605,-35.992,84.6957276963,0,0,0,-30.633,756.94,371.248,30.633,-756.94,-371.248,843.6359533549
-770.24,-407.23,-255.96,-759.069,-328.351,-219.968,-11.171,-78.879,-35.992,87.4191737893,8.767,399.905,0,96.254,1017.344,301.163,-87.487,-617.439,-301.163,692.5200693547
-761.26,362.24,-255.96,-763.044,443.852,-219.968,1.784,-81.612,-35.992,89.2139297644,-3.367,-128.706,0,-18.619,570.081,322.93,15.252,-698.787,-322.93,769.9478422419
-725.11,309.95,-255.96,-754.44,387.454,-219.968,29.33,-77.504,-35.992,90.3467928595,-30.522,-398.833,0,-267.446,193.673,306.852,236.924,-592.506,-306.852,708.0639036951
-996.99,271.17,-260.7,-968.364,339.97,-208.616,-28.626,-68.8,-52.084,90.9155153535,370.909,164.179,0,612.096,743.643,453.225,-241.187,-579.464,-453.225,774.1851179724
-740.09,-352.15,-255.96,-794.481,-317.452,-191.034,54.391,-34.698,-64.926,91.5298725062,-194.82,349.714,160.328,-618.046,619.774,682.755,423.226,-270.06,-522.427,724.5568445643
-818.29,-86.06,-255.96,-805.435,-146.735,-183.195,-12.855,60.675,-72.765,95.6109401429,3.951,-480.37,114.727,115.903,-1008.382,764.368,-111.952,528.012,-649.641,844.6084011712
-826.39,278.93,-255.96,-895.972,327.948,-211.857,69.582,-49.018,-44.103,95.8618467222,292.398,-117.614,-57.69,-253.846,267.204,301.853,546.244,-384.818,-359.543,758.7743864345
-833.68,95.96,-255.98,-856.775,176.136,-206.645,23.095,-80.176,-49.335,96.930450458,52.67,399.781,225.128,-126.079,1020.515,624.531,178.749,-620.734,-399.403,759.4634027825
-762.15,-319.1,-255.96,-807.963,-396.968,-219.968,45.813,77.868,-35.992,97.2506064608,-191.28,-476.865,0,-536.387,-1063.459,290.706,345.107,586.594,-290.706,740.0684702924
-762.15,-319.1,-255.96,-807.963,-396.968,-219.968,45.813,77.868,-35.992,97.2506064608,-191.28,-476.865,0,-536.387,-1063.459,290.706,345.107,586.594,-290.706,740.0684702924
-767.16,414.8,-255.96,-816.012,485.777,-210.164,48.852,-70.977,-45.796,97.5783072665,-348.501,560.893,196.946,0,560.893,194.546,-348.501,0,2.4,348.5092638668
-763.52,148.3,-255.96,-703.919,195.883,-193.092,-59.601,-47.583,-62.868,98.8372728984,521.515,-49.876,-14.072,1056.58,377.247,580.517,-535.065,-427.123,-594.589,906.78811763
-806.06,-37.37,-255.96,-787.904,61.104,-219.968,-18.156,-98.474,-35.992,106.4057943723,76.174,396.487,0,205,1095.124,272.719,-128.826,-698.637,-272.719,760.9635004427
-792.68,283.95,-255.96,-745.113,229.028,-177.886,-47.567,54.922,-78.074,106.651746582,88.92,-553.98,68.328,446.958,-967.406,668.759,-358.038,413.426,-600.431,812.1758754611
-836.96,186.02,-255.96,-848.678,258.729,-176.803,11.718,-72.709,-79.157,108.1191049445,339.46,-469.312,80.328,236.471,37.834,660.809,102.989,-507.146,-580.481,777.664446145
-846.6,224.16,-255.96,-781.408,193.185,-175.447,-65.192,30.975,-80.513,108.1285839082,84.312,-560.491,-27.671,536.165,-775.192,541.197,-451.853,214.701,-568.868,757.5476581932
-815.89,343.7,-255.96,-905.545,393.71,-219.968,89.655,-50.01,-35.992,108.7862270189,210.508,-361.637,0,-559.458,67.817,330.618,769.966,-429.454,-330.618,941.5872987652
-815.89,343.7,-255.96,-905.545,393.71,-219.968,89.655,-50.01,-35.992,108.7862270189,210.508,-361.637,0,-559.458,67.817,330.618,769.966,-429.454,-330.618,941.5872987652
-738.88,316.96,-255.98,-758.523,419.198,-219.968,19.643,-102.238,-36.012,110.1604295426,-2.772,-162.726,0,-129.916,499.189,243.383,127.144,-661.915,-243.383,716.6117140056
-804.14,372.95,-255.96,-804.47,267.695,-219.968,0.33,105.255,-35.992,111.2391477359,7.038,-399.939,0,5.352,-949.128,195.65,1.686,549.189,-195.65,583.0011344903
-756.68,176.67,-255.96,-652.39,216.549,-237.968,-104.29,-39.879,-17.992,113.0948752376,-5.161,-43.693,0,885.787,296.972,183.643,-890.948,-340.665,-183.643,971.3731169731
-707.47,397.37,-255.96,-774.342,310.581,-219.968,66.872,86.789,-35.992,115.323973956,-0.707,-122.706,0,-321.83,-539.557,179.873,321.123,416.851,-179.873,556.0926482692
-769.63,105.66,-255.96,-749.571,215.753,-219.968,-20.059,-110.093,-35.992,117.5510790848,31.575,-207.937,0,153.394,460.64,227.902,-121.819,-668.577,-227.902,716.7805768113
-739.33,310.01,-255.96,-827.209,240.349,-219.968,87.879,69.661,-35.992,117.7743504588,0,0,0,-425.214,-337.087,181.361,425.214,337.087,-181.361,572.1244652049
-764.8,498.46,-255.96,-869.962,458.046,-219.968,105.162,40.414,-35.992,118.2698681153,58.696,-395.672,0,-457.828,-594.189,182.35,516.524,198.517,-182.35,582.6298690979
-788.67,394.99,-255.96,-757.148,270.115,-219.968,-31.522,124.875,-35.992,133.7266845959,28.784,-179.67,0,187.253,-807.395,188.587,-158.469,627.725,-188.587,674.3264462818
-373.54,377.54,-271.96,-448.706,298.68,-185.518,75.166,78.86,-86.442,139.0720910895,-316.108,93.273,109.128,-668.844,-276.859,520.592,352.736,370.132,-411.464,656.2949081137
