"time_since_jump","vel_before_x","vel_before_y","vel_before_z","vel_before_len","vel_after_x","vel_after_y","vel_after_z","vel_after_len","vel_delta_x","vel_delta_y","vel_delta_z","vel_delta_len"
0.089,-46.188,296.542,181.128,350.5393579785,-175.067,1123.935,734.643,1354.0969965859,-128.879,827.393,553.515,1003.7767821159
0.149,-1.95,-259.986,133.128,292.0951678477,-8.474,-1128.427,630.335,1292.5716673477,-6.524,-868.441,497.207,1000.7233053677
0.179,17.556,299.495,109.128,319.2403303861,71.388,1217.979,495.768,1316.9491261279,53.832,918.484,386.64,997.9986132656
0.159,44.135,-296.739,124.328,324.7451060909,177.162,-1191.028,550.178,1323.8692921554,133.027,-894.289,425.85,999.3984294314
0.238,-36.879,192.657,61.928,205.6984624979,-211.258,1103.629,416.421,1198.346094184,-174.379,910.972,354.493,992.9467797793
0.229,17.416,-217.613,69.128,228.9921728116,91.529,-1143.488,423.287,1222.7486447975,74.113,-925.875,354.159,994.0653145921
0,-341.296,272.612,252.328,504.4498803092,-1007.726,804.929,786.195,1510.4717687339,-666.43,532.317,533.867,1006.2327300769
0.119,353.018,-255.49,157.128,463.2343432951,1104.176,-799.136,536.329,1464.7429063535,751.158,-543.646,379.201,1001.7897547295
0.029,-160.508,399.375,228.328,487.2339112511,-484.929,1206.59,732.04,1492.279506239,-324.421,807.215,503.712,1005.2715157658
0.019,353.034,-237.587,236.328,486.7561107054,1067.108,-718.145,756.369,1492.1614486543,714.074,-480.558,520.041,1005.6243386678
0.019,-402.503,124.469,236.328,483.0653377691,-1222.691,378.102,760.036,1488.4855139305,-820.188,253.633,523.708,1005.6381671839
0.069,91.727,-404.003,196.328,458.4505972534,258.926,-1275.447,661.715,1460.0255013218,167.199,-871.444,465.387,1001.9756536493
0,-376.963,187.766,252.328,490.9445933188,-1132.757,564.225,799.759,1497.0313055361,-755.794,376.459,547.431,1006.2935202405
0.119,432.701,154.291,157.128,485.5152690349,1312.141,467.878,520.656,1487.1807210629,879.44,313.587,363.528,1001.9501619108
1.921,0,0,0,0,0,0,959,959,0,0,959,959
1.145,178.285,-397.317,-60,439.5979296061,580.775,-1294.286,-141.519,1425.6589626492,402.49,-896.969,-81.519,986.5074426592
1.562,6.603,319.937,0,320.0051305495,25.849,1252.31,0,1252.5767469106,19.246,932.373,0,932.5716163625
0.059,174.391,-423.286,204.328,501.3314175882,517.436,-1255.938,648.699,1505.3008558229,343.045,-832.652,444.371,1004.2185074823
0.079,149.619,-236.688,189.128,337.9000664235,582.119,-920.865,784.267,1342.3597154545,432.5,-684.177,595.139,1004.6615582623
